t (ms),Normalized,,
-0.5,8.17802E-17,,
0,1.9357E-16,,
0,0,,
0.01,9.85736E-08,,
0.02,7.38237E-07,,
0.03,2.33503E-06,,
0.04,5.19E-06,,
0.05,9.50915E-06,,
0.06,1.54205E-05,,
0.07,2.29889E-05,,
0.08,3.22277E-05,,
0.09,4.31103E-05,,
0.1,5.5578E-05,,
0.11,6.95481E-05,,
0.12,8.49199E-05,,
0.13,0.00010158,,
0.14,0.000119406,,
0.15,0.000138272,,
0.16,0.000158049,,
0.17,0.000178608,,
0.18,0.000199822,,
0.19,0.00022157,,
0.2,0.000243734,,
0.21,0.0002662,,
0.22,0.000288863,,
0.23,0.000311624,,
0.24,0.00033439,,
0.25,0.000357075,,
0.26,0.000379601,,
0.27,0.000401896,,
0.28,0.000423894,,
0.29,0.000445538,,
0.3,0.000466775,,
0.31,0.000487558,,
0.32,0.000507847,,
0.33,0.000527607,,
0.34,0.000546806,,
0.35,0.000565421,,
0.36,0.000583428,,
0.37,0.000600812,,
0.38,0.000617558,,
0.39,0.000633657,,
0.4,0.000649101,,
0.41,0.000663887,,
0.42,0.000678013,,
0.43,0.000691481,,
0.44,0.000704293,,
0.45,0.000716454,,
0.46,0.000727971,,
0.47,0.000738853,,
0.48,0.000749108,,
0.49,0.000758748,,
0.5,0.000767783,,
0.51,0.000776227,,
0.52,0.000784093,,
0.53,0.000791395,,
0.54,0.000798147,,
0.55,0.000804364,,
0.56,0.00081006,,
0.57,0.000815252,,
0.58,0.000819955,,
0.59,0.000824184,,
0.6,0.000827954,,
0.61,0.000831282,,
0.62,0.000834183,,
0.63,0.000836671,,
0.64,0.000838763,,
0.65,0.000840473,,
0.66,0.000841815,,
0.67,0.000842805,,
0.68,0.000843456,,
0.69,0.000843783,,
0.7,0.000843799,,
0.71,0.000843517,,
0.72,0.00084295,,
0.73,0.000842111,,
0.74,0.000841013,,
0.75,0.000839666,,
0.76,0.000838083,,
0.77,0.000836276,,
0.78,0.000834253,,
0.79,0.000832028,,
0.8,0.000829609,,
0.81,0.000827006,,
0.82,0.00082423,,
0.83,0.000821288,,
0.84,0.000818191,,
0.85,0.000814946,,
0.86,0.000811563,,
0.87,0.000808048,,
0.88,0.000804409,,
0.89,0.000800655,,
0.9,0.000796791,,
0.91,0.000792825,,
0.92,0.000788763,,
0.93,0.000784611,,
0.94,0.000780376,,
0.95,0.000776063,,
0.96,0.000771678,,
0.97,0.000767225,,
0.98,0.000762711,,
0.99,0.000758139,,
1,0.000753515,,
1.01,0.000748843,,
1.02,0.000744127,,
1.03,0.000739371,,
1.04,0.000734579,,
1.05,0.000729754,,
1.06,0.000724901,,
1.07,0.000720023,,
1.08,0.000715122,,
1.09,0.000710202,,
1.1,0.000705265,,
1.11,0.000700315,,
1.12,0.000695354,,
1.13,0.000690385,,
1.14,0.00068541,,
1.15,0.00068043,,
1.16,0.00067545,,
1.17,0.000670469,,
1.18,0.000665491,,
1.19,0.000660518,,
1.2,0.00065555,,
1.21,0.000650589,,
1.22,0.000645638,,
1.23,0.000640698,,
1.24,0.000635769,,
1.25,0.000630854,,
1.26,0.000625953,,
1.27,0.000621068,,
1.28,0.0006162,,
1.29,0.00061135,,
1.3,0.000606519,,
1.31,0.000601708,,
1.32,0.000596917,,
1.33,0.000592148,,
1.34,0.000587401,,
1.35,0.000582677,,
1.36,0.000577976,,
1.37,0.0005733,,
1.38,0.000568649,,
1.39,0.000564023,,
1.4,0.000559423,,
1.41,0.00055485,,
1.42,0.000550303,,
1.43,0.000545784,,
1.44,0.000541292,,
1.45,0.000536828,,
1.46,0.000532392,,
1.47,0.000527984,,
1.48,0.000523606,,
1.49,0.000519256,,
1.5,0.000514936,,
1.51,0.000510644,,
1.52,0.000506383,,
1.53,0.000502151,,
1.54,0.000497948,,
1.55,0.000493776,,
1.56,0.000489634,,
1.57,0.000485521,,
1.58,0.000481439,,
1.59,0.000477387,,
1.6,0.000473365,,
1.61,0.000469373,,
1.62,0.000465411,,
1.63,0.00046148,,
1.64,0.000457578,,
1.65,0.000453707,,
1.66,0.000449865,,
1.67,0.000446054,,
1.68,0.000442272,,
1.69,0.000438521,,
1.7,0.000434799,,
1.71,0.000431106,,
1.72,0.000427444,,
1.73,0.00042381,,
1.74,0.000420206,,
1.75,0.000416632,,
1.76,0.000413086,,
1.77,0.00040957,,
1.78,0.000406082,,
1.79,0.000402623,,
1.8,0.000399192,,
1.81,0.00039579,,
1.82,0.000392416,,
1.83,0.000389071,,
1.84,0.000385753,,
1.85,0.000382463,,
1.86,0.000379201,,
1.87,0.000375966,,
1.88,0.000372759,,
1.89,0.000369579,,
1.9,0.000366425,,
1.91,0.000363299,,
1.92,0.000360199,,
1.93,0.000357126,,
1.94,0.000354079,,
1.95,0.000351058,,
1.96,0.000348063,,
1.97,0.000345094,,
1.98,0.00034215,,
1.99,0.000339232,,
2,0.000336339,,
2.01,0.000333471,,
2.02,0.000330628,,
2.03,0.000327809,,
2.04,0.000325015,,
2.05,0.000322245,,
2.06,0.0003195,,
2.07,0.000316778,,
2.08,0.00031408,,
2.09,0.000311406,,
2.1,0.000308755,,
2.11,0.000306127,,
2.12,0.000303522,,
2.13,0.00030094,,
2.14,0.000298381,,
2.15,0.000295844,,
2.16,0.00029333,,
2.17,0.000290837,,
2.18,0.000288367,,
2.19,0.000285918,,
2.2,0.000283491,,
2.21,0.000281085,,
2.22,0.000278701,,
2.23,0.000276338,,
2.24,0.000273995,,
2.25,0.000271674,,
2.26,0.000269372,,
2.27,0.000267091,,
2.28,0.000264831,,
2.29,0.00026259,,
2.3,0.000260369,,
2.31,0.000258168,,
2.32,0.000255987,,
2.33,0.000253825,,
2.34,0.000251682,,
2.35,0.000249558,,
2.36,0.000247453,,
2.37,0.000245367,,
2.38,0.000243299,,
2.39,0.000241249,,
2.4,0.000239218,,
2.41,0.000237205,,
2.42,0.00023521,,
2.43,0.000233233,,
2.44,0.000231273,,
2.45,0.000229331,,
2.46,0.000227406,,
2.47,0.000225498,,
2.48,0.000223607,,
2.49,0.000221733,,
2.5,0.000219876,,
2.51,0.000218036,,
2.52,0.000216212,,
2.53,0.000214404,,
2.54,0.000212612,,
2.55,0.000210836,,
2.56,0.000209076,,
2.57,0.000207332,,
2.58,0.000205604,,
2.59,0.00020389,,
2.6,0.000202193,,
2.61,0.00020051,,
2.62,0.000198842,,
2.63,0.00019719,,
2.64,0.000195552,,
2.65,0.000193929,,
2.66,0.00019232,,
2.67,0.000190726,,
2.68,0.000189146,,
2.69,0.00018758,,
2.7,0.000186028,,
2.71,0.00018449,,
2.72,0.000182966,,
2.73,0.000181455,,
2.74,0.000179958,,
2.75,0.000178474,,
2.76,0.000177004,,
2.77,0.000175547,,
2.78,0.000174102,,
2.79,0.000172671,,
2.8,0.000171253,,
2.81,0.000169847,,
2.82,0.000168454,,
2.83,0.000167073,,
2.84,0.000165705,,
2.85,0.000164349,,
2.86,0.000163005,,
2.87,0.000161674,,
2.88,0.000160354,,
2.89,0.000159046,,
2.9,0.000157749,,
2.91,0.000156465,,
2.92,0.000155191,,
2.93,0.00015393,,
2.94,0.000152679,,
2.95,0.00015144,,
2.96,0.000150212,,
2.97,0.000148995,,
2.98,0.000147789,,
2.99,0.000146593,,
3,0.000145408,,
3.01,0.000144234,,
3.02,0.000143071,,
3.03,0.000141918,,
3.04,0.000140775,,
3.05,0.000139643,,
3.06,0.00013852,,
3.07,0.000137408,,
3.08,0.000136306,,
3.09,0.000135213,,
3.1,0.000134131,,
3.11,0.000133058,,
3.12,0.000131994,,
3.13,0.000130941,,
3.14,0.000129896,,
