t (ms),Ina (pA)
1.1,0.835821318
1.11,0.829955026
1.12,0.824075794
1.13,0.818186588
1.14,0.812290226
1.15,0.806389389
1.16,0.800486623
1.17,0.794584344
1.18,0.788684848
1.19,0.782790309
1.2,0.776902791
1.21,0.771024248
1.22,0.76515653
1.23,0.759301389
1.24,0.75346048
1.25,0.747635369
1.26,0.741827534
1.27,0.736038368
1.28,0.730269187
1.29,0.724521231
1.3,0.718795663
1.31,0.713093581
1.32,0.707416015
1.33,0.701763931
1.34,0.696138235
1.35,0.690539775
1.36,0.684969344
1.37,0.679427682
1.38,0.673915478
1.39,0.668433374
1.4,0.662981966
1.41,0.657561807
1.42,0.652173407
1.43,0.646817238
1.44,0.641493734
1.45,0.636203291
1.46,0.630946273
1.47,0.625723011
1.48,0.620533805
1.49,0.615378924
1.5,0.610258612
1.51,0.605173082
1.52,0.600122527
1.53,0.59510711
1.54,0.590126976
1.55,0.585182246
1.56,0.580273019
1.57,0.575399378
1.58,0.570561385
1.59,0.565759083
1.6,0.560992502
1.61,0.556261653
1.62,0.551566533
1.63,0.546907125
1.64,0.542283399
1.65,0.53769531
1.66,0.533142804
1.67,0.528625814
1.68,0.524144262
1.69,0.51969806
1.7,0.515287111
1.71,0.510911309
1.72,0.506570538
1.73,0.502264676
1.74,0.497993593
1.75,0.493757151
1.76,0.489555206
1.77,0.485387608
1.78,0.4812542
1.79,0.477154821
1.8,0.473089303
1.81,0.469057477
1.82,0.465059165
1.83,0.461094188
1.84,0.457162362
1.85,0.453263498
1.86,0.449397408
1.87,0.445563896
1.88,0.441762766
1.89,0.43799382
1.9,0.434256854
1.91,0.430551667
1.92,0.426878053
1.93,0.423235803
1.94,0.419624709
1.95,0.416044562
1.96,0.412495148
1.97,0.408976256
1.98,0.405487672
1.99,0.402029182
2,0.39860057
2.01,0.395201622
2.02,0.391832119
2.03,0.388491848
2.04,0.385180589
2.05,0.381898128
2.06,0.378644247
2.07,0.37541873
2.08,0.372221359
2.09,0.369051919
2.1,0.365910193
2.11,0.362795965
2.12,0.359709021
2.13,0.356649146
2.14,0.353616126
2.15,0.350609746
2.16,0.347629794
2.17,0.344676058
2.18,0.341748327
2.19,0.338846389
2.2,0.335970036
2.21,0.333119058
2.22,0.330293248
2.23,0.327492398
2.24,0.324716302
2.25,0.321964757
2.26,0.319237557
2.27,0.3165345
2.28,0.313855385
2.29,0.311200011
2.3,0.308568179
2.31,0.30595969
2.32,0.303374347
2.33,0.300811954
2.34,0.298272318
2.35,0.295755244
2.36,0.293260541
2.37,0.290788018
2.38,0.288337484
2.39,0.285908752
2.4,0.283501635
2.41,0.281115947
2.42,0.278751503
2.43,0.276408121
2.44,0.274085617
2.45,0.271783813
2.46,0.269502529
2.47,0.267241586
2.48,0.265000808
2.49,0.26278002
2.5,0.260579048
2.51,0.258397719
2.52,0.256235862
2.53,0.254093306
2.54,0.251969884
2.55,0.249865428
2.56,0.247779771
2.57,0.245712748
2.58,0.243664197
2.59,0.241633955
2.6,0.239621862
2.61,0.237627757
2.62,0.235651482
2.63,0.23369288
2.64,0.231751796
2.65,0.229828074
2.66,0.227921563
2.67,0.226032109
2.68,0.224159562
2.69,0.222303772
2.7,0.220464592
2.71,0.218641874
2.72,0.216835472
2.73,0.215045242
2.74,0.213271041
2.75,0.211512726
2.76,0.209770157
2.77,0.208043193
2.78,0.206331697
2.79,0.20463553
2.8,0.202954557
2.81,0.201288642
2.82,0.199637652
2.83,0.198001453
2.84,0.196379915
2.85,0.194772906
2.86,0.193180298
2.87,0.191601962
2.88,0.19003777
2.89,0.188487598
2.9,0.186951319
2.91,0.18542881
2.92,0.183919949
2.93,0.182424613
2.94,0.180942681
2.95,0.179474035
2.96,0.178018556
2.97,0.176576125
2.98,0.175146627
2.99,0.173729946
